Years, PRED, PETD, CLDD, DTRD, TMPD, TMND, TMXD, VAPD, WETD
1960,197.9,1.6,47.6,7.9,13.5,9.6,17.5,11.8,13.55
1961,142,1.7,51,8.3,13.4,9.3,17.6,11.5,12.94
1962,326.5,1.2,58.8,5.7,12.8,10,15.7,12.3,19.33
1963,91.7,1.7,48.4,9,13.8,9.3,18.3,11.9,11.13
1964,158.4,1.5,53.6,8,12.1,8.1,16.1,10.8,14.38
1965,76.8,1.7,37.4,10.6,11.8,6.5,17.1,10,9.89
1966,86.7,1.7,43.3,9.6,13.1,8.3,17.9,11.3,11.52
1967,173.4,1.4,56.5,7.5,11.6,7.9,15.4,10.8,15.05
1968,152,1.5,49.2,8.9,11.8,7.4,16.3,10.5,12.95
1969,108.1,1.5,48.5,8.2,12.2,8.1,16.3,11,10.55
1970,167.8,1.4,55.2,7.4,12.2,8.5,15.9,11.1,14.76
1971,104,1.6,47.5,8.7,12.4,8.1,16.8,10.9,10.87
1972,81.5,1.6,50.5,9,13.2,8.7,17.7,11.5,10.21
1973,34.1,1.9,39.8,10.3,14.1,9,19.3,11.7,6.03
1974,179.8,1.5,56.6,7.4,13.7,10,17.4,12.1,14.77
1975,77,1.7,46.4,8.9,13.6,9.2,18.1,11.7,10.16
1976,246.1,1.4,55.1,6.7,13.1,9.8,16.5,12,17.35
1977,191.5,1.3,59.2,6.6,13.2,9.9,16.5,12.3,15.72
1978,26.2,1.9,29.5,10.9,13.6,8.2,19.1,11,4.98
1979,103.8,1.7,50.7,9,13.5,9,18,11.5,11.94
1980,117.6,1.7,45.8,9,13.1,8.6,17.6,11.2,12.17
1981,79.2,1.7,42.2,9.7,12,7.2,16.9,10.2,9.74
1982,99.7,1.6,57.8,9,12.3,7.8,16.8,10.6,12.73
1983,173.9,1.5,51.9,7.8,12.7,8.8,16.6,11.4,15.09
1984,48.1,1.8,41.1,9.3,14,9.4,18.7,11.9,8.44
1985,113.9,1.7,39.9,8.7,13.6,9.3,18,11.6,13.49
1986,149.2,1.6,49.9,7.9,13.5,9.6,17.5,11.9,14.01
1987,108.7,1.6,46,9,13.5,9,18,11.7,12.9
1988,82.8,1.6,50.6,9.3,12.7,8.1,17.4,11,11.56
1989,97.1,1.5,50.8,8.3,13,8.9,17.2,11.7,10.82
1990,122.1,1.4,51.1,8.1,11.9,7.9,16,11.1,13.49
1991,137.2,1.6,53.7,8.8,12.9,8.5,17.3,11.3,13.84
1992,169,1.6,53.4,8.5,12.7,8.5,17,11.2,14.25
1993,105.3,1.5,52.3,8.2,13.1,9,17.2,11.8,12.55
1994,315.3,1.3,59.8,7.3,12.4,8.8,16.1,11.6,18.59
1995,135.3,1.6,49,8.5,13.1,8.9,17.4,11.4,12.72
1996,174.6,1.6,49.5,8.2,13.5,9.4,17.6,11.7,14.09
1997,178.1,1.3,53.3,7,12.3,8.8,15.8,11.6,16.33
1998,72.9,1.7,47.6,7.7,13.3,9.5,17.2,11.3,9.35
1999,67,1.9,43.9,9.1,14.6,10.1,19.2,11.8,9.28
2000,70.9,1.7,44.9,8.8,14.4,10,18.8,12.2,8.55
2001,55,1.6,46.3,8.4,13.7,9.5,17.9,12,7.91
2002,80.6,1.3,50.7,8.1,12.2,8.2,16.3,11.8,12.27
2003,32.8,1.7,50.1,9.8,13,8.1,17.9,10.9,6.61
2004,126.4,1.8,51.8,8.6,14.3,10,18.6,11.7,15.01
2005,99.4,1.6,49.9,8.8,12.8,8.4,17.2,11.2,13.58
2006,55,2,46.1,9.5,14.2,9.5,19,10.9,8.61
2007,158.6,1.7,54.5,8.1,13.5,9.5,17.6,11.4,16.75
2008,80.3,1.7,56.6,7.6,13.9,10.1,17.7,11.5,13.58
2009,157.1,1.6,62.3,7,13.9,10.4,17.4,11.8,14.2
2010,95.6,1.8,45.7,9.3,13.5,8.9,18.2,11,10.99
